a:	alay
nğü:	niğde üniversitesi
nkü:	namık kemal üniversitesi
no.:	numara
notam:	havacılar ve denizciler için uyarı bildirimi (notice to airmen)
nö.:	nöbetçi
nö. sb.:	nöbetçi subayı
nvi̇gm:	nüfus ve vatandaşlık i̇şleri genel müdürlüğü
oaci:	bk. ushö (international civil aviation organization)
oae:	bk. abö (organization of african unity)
oai̇b:	orta anadolu i̇hracatçı birlikleri genel sekreterliği
oaop:	orta amerika ortak pazarı
oapec:	bk. pi̇eaüö (organization of arab petroleum exporting countries)
oau:	bk. abö (organization of african unity)
obesi̇d:	okul i̇çi beden eğitimi spor ve i̇zcilik dairesi başkanlığı
ocde:	bk. ei̇bkt (organization for economic cooperation and development)
oci:	bk. i̇kö (organization of the islamic conference)
odtü:	orta doğu teknik üniversitesi
odü:	ordu üniversitesi
oecd:	bk. ei̇bkt (organization for economic cooperation and development)
oeec:	bk. aei̇bö (organization for european economic cooperation)
ogm:	1. orman genel müdürlüğü 2. ortaöğretim genel müdürlüğü
oic:	bk. i̇kö (organization of the islamic conference)
oiec:	bk. ui̇i̇bö (organization for international economic cooperation)
okan:	okan üniversitesi
okönegm:	okul öncesi eğitimi genel müdürlüğü
okt.:	okutman
okü:	osmaniye korkut ata üniversitesi
omc:	bk. dtö (world trade organization)
omi:	bk. udö (international maritime organization)
omü:	ondokuz mayıs üniversitesi
onb.:	onbaşı
opec:	bk. pi̇eüt (organization of petroleum exporting countries)
opep:	bk. pi̇eüt (organization of petroleum exporting countries)
opr.:	operatör
or.:	ordu
ora.:	oramiral
ord.:	ordinaryüs
org.:	orgeneral
orköy:	orman-köy i̇lişkileri genel müdürlüğü
ort.:	ortaklık, ortakları, ortaklığı
osb:	organize sanayi bölgesi
osm. t.:	osmanlı türkçesi
osze:	bk. agi̇t (organisation für sicherheit und zusammenarbeit in europa)
oua:	bk. abö (organization of african unity)
oyak:	ordu yardımlaşma kurumu
oyegm:	öğretmen yetiştirme ve eğitimi genel müdürlüğü
öçkkb:	özel çevre koruma kurumu başkanlığı
öi̇b:	özelleştirme i̇daresi başkanlığı
öl.:	ölüm tarihi
öökgm:	özel öğretim kurumları genel müdürlüğü
ör.:	örnek
örgm:	özel eğitim rehberlik ve danışma hizmetleri genel müdürlüğü
ösgm:	sanayi ve ticaret bakanlığı ölçüler ve standartlar genel müdürlüğü
öss:	öğrenci seçme sınavı
ösym:	ölçme, seçme ve yerleştirme merkezi
ötv:	özel tüketim vergisi
öyk:	özelleştirme yüksek kurulu
öys:	öğrenci yerleştirme sınavı
öz.:	özel
özi̇:	özürlüler i̇daresi başkanlığı
özü:	özyeğin üniversitesi
paü:	pamukkale üniversitesi
ped.:	pedagoji
pen:	bk. uyb (international association of poets, playwrights, editors, essayists and novelists)
petki̇m:	petrokimya endüstrisi genel müdürlüğü
pi̇eaüö:	petrol i̇hraç eden arap ülkeleri örgütü
pi̇eüt:	petrol i̇hraç eden ülkeler teşkilatı
pi̇gm:	petrol i̇şleri genel müdürlüğü
pk:	posta kutusu
po:	petrol ofisi
poaş:	petrol ofisi anonim şirketi
port.:	portekizce
prof.:	profesör
psikol.:	psikoloji
ptt:	posta ve telgraf teşkilatı genel müdürlüğü
ram:	bilgisayarda okunabilir ve yazılabilir bellek (random access memory)
rc:	kızılhaç (red cross)
rcd:	bk. ki̇bi̇b (regional cooperation for development)
rk:	rekabet kurumu
rna:	ribo nükleik asit
rom:	bilgisayarda yalnızca okunabilir bellek (read-only memory)
ro-ro:	gemiye taşıt indirme bindirme (rolon-roloff)
rshm:	refik saydam hıfzıssıhha merkezi başkanlığı
rtük:	radyo ve televizyon üst kurulu
rum.:	rumca
rus.:	rusça
rü:	rize üniversitesi
s:	sayı
s.:	sayfa
sa.:	saat
sas:	su altı savunma (komandoları)
sat:	su altı taarruz (komandoları)
satem:	savunma sanayii ve teknoloji eğitim merkezi
saü:	sakarya üniversitesi
sb.:	subay
sb:	sağlık bakanlığı
sbf:	siyasal bilgiler fakültesi
sbs:	seviye belirleme sınavı
sdif:	bk. tmsf (savings deposit insurance fund)
sdü:	süleyman demirel üniversitesi
sefd bşk.:	millî savunma bakanlığı seferberlik dairesi başkanlığı
sek:	süt endüstrisi kurumu sanayi ve ticaret anonim şirketi
seka:	selüloz ve kâğıt sanayii kurumu
sf.:	sıfat
sg:	sahil güvenlik
sgk:	1.sosyal güvenlik kurumu 2. sahil güvenlik komutanlığı
sgm:	sanayi ve ticaret bakanlığı sanayi genel müdürlüğü
shçek:	sosyal hizmetler ve çocuk esirgeme kurumu
shgm:	sivil havacılık genel müdürlüğü
shö:	sivil havacılık örgütü
si̇ü:	siirt üniversitesi
skt:	son kullanma tarihi
sl.:	slavca
smwk:	bk. kei̇ (black sea economic cooperation pact)
sn.:	1. sayın. 2. saniye
snt.:	santral
snü:	sinop üniversitesi
sok.:	sokak
sos:	uluslararası yardım isteme uyarısı (save our souls)
sos.:	sosyoloji
sp.:	spor
spa:	bk. suges (salus per aquam)
spk:	sermaye piyasası kurulu
srp.:	sırpça
sscb:	sovyet sosyalist cumhuriyetleri birliği
ssdb:	sağlık bakanlığı sıtma savaş dairesi başkanlığı
ssk:	sosyal sigortalar kurumu
ssm:	savunma sanayi müsteşarlığı
stb:	sanayi ve ticaret bakanlığı
stk:	sivil toplum kuruluşu
stö:	sivil toplum örgütü
suges:	sudan gelen sağlık
sü:	1. sabancı üniversitesi 2. selçuk üniversitesi
swift:	bk. dbafi̇t (society for worldwide interbank financial telecommunication)
syd:	sayısal yoğun disk
sydgm:	sosyal yardımlaşma ve dayanışma genel müdürlüğü
ş:	şirket
şb.:	şube
şehi̇r:	i̇stanbul şehir üniversitesi
şü:	şırnak üniversitesi
t:	ton
t.:	türkçe
t.c.:	türkiye cumhuriyeti
taa:	türkiye adalet akademisi
taek:	türkiye atom enerjisi kurumu
tagem:	tarımsal araştırmalar genel müdürlüğü
tai:	bk. ths (turkish aerospace industry)
tapdk:	tütün ve alkol piyasası düzenleme kurulu
tar.:	tarih
tari̇ş:	tarım satış kooperatifleri birliği
tass:	sovyetler birliği telgraf ajansı (telegrafnoe agentstvo sovetskogo soyuza)
taş:	türk anonim şirketi
tau:	teknik araştırma ve uygulama genel müdürlüğü
tb.:	tabur
tbb:	1. türkiye bankalar birliği 2. türkiye barolar birliği
tbmm:	türkiye büyük millet meclisi
tcdd:	türkiye cumhuriyeti devlet demiryolları
tck:	türkiye cumhuriyeti karayolları
tcmb:	türkiye cumhuriyet merkez bankası
tczb:	türkiye cumhuriyeti ziraat bankası
tdçi̇:	türkiye demir çelik i̇şletmeleri
tdi̇:	türkiye denizcilik i̇şletmeleri
tdk:	türk dil kurumu
teae:	tarımsal ekonomi araştırma enstitüsü
teaş:	türkiye elektrik üretim anonim şirketi
tedaş:	türkiye elektrik dağıtım anonim şirketi
tedgem:	teşkilatlanma ve destekleme genel müdürlüğü
tefe:	toptan eşya fiyatları endeksi
tei̇aş:	türkiye elektrik i̇letim anonim şirketi
tek:	türkiye elektrik kurumu
tek.:	teknik, teknoloji
tel.:	telefon
telg.:	telgraf
tem:	avrupa transit kara yolu (trans european motor way)
temsan:	türkiye elektromekanik sanayii
tetaş:	türkiye elektrik, ticaret ve taahhüt anonim şirketi
tff:	türkiye futbol federasyonu başkanlığı
tgc:	türkiye gazeteciler cemiyeti
tgm:	kültür ve turizm bakanlığı tanıtma genel müdürlüğü
tgs:	türkiye gazeteciler sendikası
tğm.:	teğmen
tha:	türk haberler ajansı
thk:	1. türk hava kurumu 2. türk hukuk kurumu
ths:	türk havacılık sanayii
thsgm:	telif hakları ve sinema genel müdürlüğü
thy:	türk hava yolları
tir:	uluslararası kara yolu taşımacılığı (transport international routier)
tic.:	ticaret
ti̇gem:	tarım i̇şletmeleri genel müdürlüğü
ti̇ka:	türk i̇ş birliği ve koordinasyon ajansı başkanlığı
ti̇m:	türkiye i̇hracatçılar merkezi
ti̇sk:	türkiye i̇şverenler sendikası konfederasyonu
tiy.:	tiyatro
tk:	bk. btk (telekomünikasyon kurumu)
tkae:	türk kültürünü araştırma enstitüsü
tkb:	1. türkiye kalkınma bankası 2. türkiye kalkınma bankası anonim şirketi genel müdürlüğü 3. türk kadınlar birliği
tkf:	toplu konut fonu
tkgm:	tapu ve kadastro genel müdürlüğü
tki̇:	türkiye kömür i̇şletmeleri
tl:	türk lirası
tlks.:	teleks
tls.:	telsiz
tm:	türk malı
tmmob:	türk mühendis ve mimar odaları birliği
tmo:	toprak mahsulleri ofisi
tmsf:	tasarruf mevduatı sigorta fonu
tmsk:	türkiye muhasebe standartları kurulu
tncü:	tunceli üniversitesi
tobb:	türkiye odalar ve borsalar birliği
tobb etü:	tobb ekonomi ve teknoloji üniversitesi
todai̇e:	türkiye ve orta doğu amme i̇daresi enstitüsü
toefl:	yabancı dil olarak i̇ngilizce testi (test of english as a foreign language)
toki̇:	toplu konut i̇daresi başkanlığı
top.:	topçu
tömer:	türkçe öğretim merkezi
töü:	turgut özal üniversitesi
tp:	türk petrolleri
tpao:	türkiye petrolleri anonim ortaklığı
tpe:	türk patent enstitüsü
tr:	türkiye
trgm:	tarım reformu genel müdürlüğü
trkgm:	tüketicinin ve rekabetin korunması genel müdürlüğü
trs:	toros üniversitesi
trt:	türkiye radyo ve televizyon kurumu
tse:	türk standartları enstitüsü
tsi̇:	türkiye saati ile
tsk:	türk silahlı kuvvetleri
tskb:	türkiye sınai kalkınma bankası
tt:	türkiye türkçesi
ttb:	türk tabipleri birliği
ttk:	1. türk tarih kurumu 2.türkiye taşkömürü kurumu
ttkb:	talim ve terbiye kurulu başkanlığı
ttok:	türkiye turing ve otomobil kurumu
tubi̇m:	türkiye uyuşturucu ve uyuşturucu bağımlılığını i̇zleme merkezi
tug.:	tugay
tuğa.:	tuğamiral
tuğg.:	tuğgeneral
turkstat:	bk. tüi̇k (turkish statistic institution)
tus:	tıpta uzmanlık eğitimi giriş sınavı
tü:	trakya üniversitesi
tüba:	türkiye bilimler akademisi
tübi̇tak:	türkiye bilimsel ve teknolojik araştırma kurumu
tüdemsaş:	türkiye demiryolu makineleri sanayii anonim şirketi
tüfe:	tüketici fiyatları endeksi
tügem:	tarımsal üretim ve geliştirme genel müdürlüğü
tüi̇k:	türkiye i̇statistik kurumu
tülomsaş:	türkiye lokomotif ve motor sanayii anonim şirketi
tüm.:	tümen
tüma.:	tümamiral
tümg.:	tümgeneral
tüpraş:	türkiye petrol rafinerileri anonim şirketi
türdok:	türkiye dokümantasyon merkezi
türkak:	türk akreditasyon kurumu
türki̇ye koop:	türkiye millî kooperatifler birliği
türkkoop:	türkiye tarım kredi kooperatifleri merkez birliği
türksat:	türksat uydu haberleşme kablo tv ve i̇şletme anonim şirketi
türkşeker:	türkiye şeker fabrikaları anonim şirketi
türsab:	türkiye seyahat acenteleri birliği
tütav:	türk tanıtma vakfı
tüvasaş:	türkiye vagon sanayii anonim şirketi
tv:	televizyon
tydta:	türkiye yatırım destek ve tanıtım ajansı başkanlığı
tzdk:	türkiye zirai donatım kurumu
tzob:	türkiye ziraat odaları birliği
ua:	avrupa birliği eğitim ve gençlik programları merkezi başkanlığı
uaaf:	uluslararası amatör atletizm federasyonu
uad:	uluslararası adalet divanı
uaea:	uluslararası atom enerjisi ajansı
uagf:	uluslararası amatör güreş federasyonu
uat:	uluslararası af teşkilatı
ubak:	ulaştırma bakanlığı
ubam:	ulusal bilimsel araştırma merkezi
ubb:	uluslararası basın birliği
ube:	uluslararası basın enstitüsü
ubf:	uluslararası basketbol federasyonu
ubok:	uluslararası bilimsel organizasyon konseyi
uçö:	uluslararası çalışma örgütü
udö:	uluslararası denizcilik örgütü
ue:	bk. ab (european union)
uea:	uluslararası enerji ajansı
uefa:	bk. affb (union of european football associations)
uei̇bb:	uluslararası ekonomik i̇ş birliği bankası
uethf:	uluslararası ekolojik tarım hareketleri federasyonu
uff:	uluslararası futbol federasyonu
ufk:	uluslararası finansman kurumu
ufo:	tanımlanmamış uçan nesne (unidentified flying object)
uhf:	ultra yüksek frekans (ultra high frequency)
uhi̇k:	uluslararası hilal i̇slam komitesi
uhtb:	uluslararası hava taşımacılığı birliği
ui̇i̇bö:	uluslararası i̇ktisadi i̇ş birliği örgütü
ui̇kb:	uluslararası i̇mar ve kalkınma bankası
uka:	uluslararası kalkınma ajansı
ukk:	uluslararası kızılhaç komitesi
umt:	uluslararası mülteci teşkilatı
un:	bk. bm (united nations)
unac:	bk. bmçyt (united nations aid to children)
unctad:	bk. bmtkk (united nations conference on trade and development)
unctc:	bk. uşm (united nations centre on transnational corporations)
unesco:	bk. bmebkt (united nations educational, scientific and cultural organization)
unhcr:	bk. myk
unicef:	birleşmiş milletler uluslararası çocuklara yardım fonu(united nations international children’s emergency fund)
unido:	bk. bmskö (united nations industrial development organisation)
uno:	bk. bmt (united nations organization)
unrra:	bk. bmyri̇ (united nations relief and rehabilitation administration)
uok:	uluslararası olimpiyat komitesi
uöb:	uluslararası ödemeler bankası
upb:	uluslararası posta birliği
upf:	uluslararası para fonu
upi:	bk. ubb (united press international)
upu:	bk. upb (universal postal union)
usaş:	uçak sanayi anonim şirketi
usf:	uluslararası satranç federasyonu
ushö:	uluslararası sivil havacılık örgütü
usö:	uluslararası standartlar örgütü
uşm:	ulusötesi şirketler merkezi
utkf:	uluslararası tarımsal kalkınma fonu
utm:	uluslararası ticaret merkezi
uto:	uluslararası ticaret odası
uü:	1. ufuk üniversitesi 2. uludağ üniversitesi
uyaçm:	uluslararası yatırım anlaşmazlıkları çözüm merkezi
uyb:	uluslararası yazarlar birliği
uzm.:	uzman
ü:	üniversite
üak:	üniversitelerarası kurul başkanlığı
üçvş.:	üstçavuş
üds:	üniversitelerarası kurul yabancı dil sınavı
üfe:	üretici fiyatları endeksi
ünl.:	ünlem
üt:	üretim tarihi
ütğm.:	üsteğmen
vb.:	ve başkası, ve başkaları, ve benzeri, ve benzerleri, ve bunun gibi
vcd:	bk. gyd (video compact disc)
vd.:	ve devamı, ve diğerleri
vdmk:	varlığa dayalı menkul kıymetler
vet.:	veteriner
vgm:	1. vakıflar genel müdürlüğü 2. verimlik genel müdürlüğü
vhf:	çok yüksek frekans (very high frequency)
vip:	çok önemli kişi (very important person)
vs.:	vesaire
w:	elektrik güç birimi (watt)
wach:	bk. bato (west african clearing house)
wadb:	bk. bakb (west african development bank)
wap:	bk. ked (wireless application protocol)
wco:	bk. dgö (world customs organization)
wfc:	bk. dgk (world food council)
who:	bk. dsö (world health organization)
wipo:	bk. dfmhö (world intellectual property organisation)
wto:	bk. dtö (world trade organization)
y. mim.:	yüksek mimar
y. müh.:	yüksek mühendis
yay.:	yayını, yayınları
yb.:	yarbay
yd:	yoğun disk
yd. sb.:	yedek subay
ydk:	yüksek denetleme kurulu
yds:	yabancı dil sınavı
yeögm:	yurt dışı eğitim öğretim genel müdürlüğü
yi̇bf:	yardım ve i̇ş birliği fonu
yi̇gm:	1. bayındırlık ve i̇skân bakanlığı yapı i̇şleri genel müdürlüğü2. kültür ve turizm bakanlığı yatırım ve i̇şletmeler genel müdürlüğü
ykr:	yeni kuruş
yögm:	millî eğitim bakanlığı yükseköğretim genel müdürlüğü
yök:	yükseköğretim kurulu
yös:	yabancı uyruklu öğrenci sınavı
yrd.: yardımcı
yrd. doç.:	yardımcı doçent
yse:	yol, su, elektrik genel müdürlüğü
ysk:	yüksek seçim kurulu
ytl:	yeni türk lirası
ytü:	1. yeditepe üniversitesi 2. yıldız teknik üniversitesi
yun.:	yunanca
yurtkur:	yükseköğrenim kredi ve yurtlar kurumu
yü:	1. yalova üniversitesi 2. yaşar üniversitesi
yy.:	yüzyıl
yyü:	yüzüncü yıl üniversitesi
yzb.:	yüzbaşı
zf.:	zarf
zkü:	zonguldak karaelmas üniversitesi
zm.:	zamir
zmo:	ziraat mühendisleri odası
zool.:	zooloji
zrv:	zirve üniversitesi
san.: sanayi
op.: operatör
tl.: türk lirası
tic.: ticaret
şti.: şirketi
vek.: vekili
st.: saint
tl.: türk lirası
öğr.:  öğretmen
gör.: görevli
bkz.: bakınız
slm : selam
nbr : naber
cnm : canım
